order_details_id,order_id,quantity,order_date,order_time,price_id,pizza_size,pizza_category,pizza_id,ingredients_id
278,115,1,2015-01-02,7:05:17 PM,D15,M,Chicken,P32,I07
279,116,1,2015-01-02,7:18:49 PM,D18,L,Veggie,P09,I20
280,117,1,2015-01-02,7:23:02 PM,D14,M,Supreme,P21,I15
281,117,1,2015-01-02,7:23:02 PM,D20,L,Supreme,P25,I11
282,118,1,2015-01-02,7:26:59 PM,D22,L,Supreme,P24,I21
283,118,1,2015-01-02,7:26:59 PM,D04,S,Veggie,P29,I29
284,119,1,2015-01-02,7:32:29 PM,D10,M,Veggie,P10,I24
285,120,1,2015-01-02,7:35:07 PM,D04,S,Classic,P08,I19
286,120,1,2015-01-02,7:35:07 PM,D02,S,Classic,P13,I22
287,120,1,2015-01-02,7:35:07 PM,D20,L,Veggie,P29,I29
288,121,1,2015-01-02,7:38:48 PM,D15,M,Chicken,P01,I02
289,121,1,2015-01-02,7:38:48 PM,D17,L,Veggie,P10,I24
290,121,1,2015-01-02,7:38:48 PM,D20,L,Supreme,P25,I11
291,121,1,2015-01-02,7:38:48 PM,D22,L,Chicken,P27,I10
292,122,1,2015-01-02,7:50:19 PM,D14,M,Supreme,P16,I04
293,123,1,2015-01-02,8:12:09 PM,D04,S,Classic,P15,I05
294,124,1,2015-01-02,8:12:34 PM,D07,S,Chicken,P01,I02
295,124,1,2015-01-02,8:12:34 PM,D20,L,Supreme,P25,I11
296,124,1,2015-01-02,8:12:34 PM,D22,L,Supreme,P28,I06
297,124,1,2015-01-02,8:12:34 PM,D04,S,Classic,P11,I13
298,125,1,2015-01-02,8:31:06 PM,D28,XL,Classic,P11,I13
299,126,1,2015-01-02,8:53:42 PM,D20,L,Veggie,P33,I16
300,127,1,2015-01-02,8:58:23 PM,D06,M,Classic,P22,I17
301,128,1,2015-01-02,9:05:06 PM,D06,S,Supreme,P28,I06
302,129,1,2015-01-02,9:13:02 PM,D04,S,Classic,P02,I01
303,129,1,2015-01-02,9:13:02 PM,D12,M,Classic,P11,I13
304,130,1,2015-01-02,9:14:55 PM,D02,S,Classic,P13,I22
305,130,1,2015-01-02,9:14:55 PM,D21,L,Classic,P15,I05
306,130,1,2015-01-02,9:14:55 PM,D12,M,Veggie,P19,I31
307,130,1,2015-01-02,9:14:55 PM,D07,S,Chicken,P27,I10
308,131,1,2015-01-02,9:33:10 PM,D22,L,Chicken,P07,I12
309,131,1,2015-01-02,9:33:10 PM,D18,L,Veggie,P09,I20
310,131,1,2015-01-02,9:33:10 PM,D04,S,Veggie,P12,I30
311,131,1,2015-01-02,9:33:10 PM,D06,S,Supreme,P31,I26
312,132,1,2015-01-02,9:42:45 PM,D01,S,Classic,P22,I17
313,133,1,2015-01-02,10:00:17 PM,D22,L,Chicken,P01,I02
314,133,1,2015-01-02,10:00:17 PM,D14,L,Classic,P13,I22
315,133,1,2015-01-02,10:00:17 PM,D04,S,Classic,P11,I13
316,134,1,2015-01-02,10:13:24 PM,D04,S,Classic,P02,I01
317,134,1,2015-01-02,10:13:24 PM,D22,L,Chicken,P27,I10
318,134,1,2015-01-02,10:13:24 PM,D06,S,Supreme,P31,I26
319,135,1,2015-01-02,10:29:34 PM,D20,L,Veggie,P33,I16
320,136,1,2015-01-02,10:32:49 PM,D18,L,Veggie,P09,I20
321,136,1,2015-01-02,10:32:49 PM,D06,S,Supreme,P21,I15
322,137,1,2015-01-03,11:34:10 AM,D20,L,Veggie,P18,I25
323,137,1,2015-01-03,11:34:10 AM,D01,S,Classic,P22,I17
324,137,1,2015-01-03,11:34:10 AM,D14,M,Supreme,P28,I06
325,138,1,2015-01-03,11:44:50 AM,D15,M,Chicken,P05,I08
326,138,1,2015-01-03,11:44:50 AM,D17,L,Veggie,P10,I24
327,138,1,2015-01-03,11:44:50 AM,D23,L,Veggie,P17,I14
328,138,1,2015-01-03,11:44:50 AM,D13,M,Supreme,P25,I11
329,139,1,2015-01-03,11:57:39 AM,D18,L,Veggie,P09,I20
330,140,1,2015-01-03,12:26:44 PM,D06,S,Supreme,P24,I21
331,140,1,2015-01-03,12:26:44 PM,D12,M,Veggie,P33,I16
332,141,1,2015-01-03,1:16:01 PM,D12,M,Classic,P08,I19
333,142,1,2015-01-03,1:33:59 PM,D12,M,Veggie,P12,I30
334,143,1,2015-01-03,1:41:36 PM,D07,S,Chicken,P05,I08
335,143,1,2015-01-03,1:41:36 PM,D04,S,Classic,P08,I19
336,143,1,2015-01-03,1:41:36 PM,D14,L,Classic,P13,I22
337,143,1,2015-01-03,1:41:36 PM,D12,M,Veggie,P19,I31
338,143,1,2015-01-03,1:41:36 PM,D11,L,Classic,P22,I17
339,143,1,2015-01-03,1:41:36 PM,D06,S,Supreme,P24,I21
340,143,1,2015-01-03,1:41:36 PM,D22,L,Chicken,P32,I07
341,143,1,2015-01-03,1:41:36 PM,D12,M,Veggie,P33,I16
342,144,3,2015-01-03,1:44:28 PM,D50,M,Chicken,P01,I02
343,144,1,2015-01-03,1:44:28 PM,D04,S,Classic,P02,I01
344,144,1,2015-01-03,1:44:28 PM,D22,L,Chicken,P05,I08
345,144,1,2015-01-03,1:44:28 PM,D15,M,Chicken,P07,I12
346,144,1,2015-01-03,1:44:28 PM,D18,L,Veggie,P09,I20
347,144,1,2015-01-03,1:44:28 PM,D17,L,Veggie,P10,I24
348,144,1,2015-01-03,1:44:28 PM,D03,S,Classic,P23,I18
349,144,1,2015-01-03,1:44:28 PM,D22,L,Chicken,P27,I10
350,144,1,2015-01-03,1:44:28 PM,D07,S,Chicken,P27,I10
351,144,1,2015-01-03,1:44:28 PM,D22,L,Supreme,P28,I06
352,144,1,2015-01-03,1:44:28 PM,D15,M,Chicken,P32,I07
353,144,1,2015-01-03,1:44:28 PM,D20,L,Veggie,P33,I16
354,145,1,2015-01-03,1:53:48 PM,D04,S,Classic,P11,I13
355,146,1,2015-01-03,2:22:10 PM,D22,L,Chicken,P05,I08
356,146,1,2015-01-03,2:22:10 PM,D10,M,Veggie,P10,I24
357,146,1,2015-01-03,2:22:10 PM,D08,M,Classic,P13,I22
358,147,1,2015-01-03,2:32:51 PM,D28,XL,Classic,P11,I13
359,148,1,2015-01-03,2:40:42 PM,D04,S,Veggie,P18,I25
360,149,1,2015-01-03,2:48:45 PM,D12,M,Veggie,P29,I29
361,150,1,2015-01-03,2:49:58 PM,D06,M,Classic,P22,I17
362,151,1,2015-01-03,3:09:34 PM,D22,L,Chicken,P27,I10
363,151,1,2015-01-03,3:09:34 PM,D06,S,Supreme,P31,I26
364,152,1,2015-01-03,3:09:42 PM,D02,S,Classic,P13,I22
365,152,1,2015-01-03,3:09:42 PM,D20,L,Veggie,P29,I29
366,152,1,2015-01-03,3:09:42 PM,D07,S,Chicken,P32,I07
367,152,1,2015-01-03,3:09:42 PM,D12,M,Classic,P11,I13
368,153,1,2015-01-03,3:16:34 PM,D12,M,Veggie,P19,I31
