Pname,PNumber,PTitle,PDescription,AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,Round,ApprovalDate,OntarioCommitment,TotalProjectCosts,Keyword,OIA_Area,project_id,institution_id
Post-Doctoral Fellowship,PD09-04-00 19A,A simulation platform to enhance pandemic preparedness and responses to future pandemics in Ontario,"The 2003 SARS epidemic created interest in applying mathematical modelling to pandemic preparedness and the 2009 H1N1 pandemic decision-making utilized mathematical modelling.  The focus of University of Guelph research Dr. Gojovic is to prepare a suite of models that can be applied to new pathogens, reduce the time required to develop new models, and used to conduct scenario studies to plan for future pandemics.",4.9,,12100,99998,4,01-Dec-09,"$50,000","$100,000",,Advanced health technologies,11,2
Post-Doctoral Fellowship,PD09-04-00 20D,Strategy for tailoring the functions of metal organic framework compounds in drug delivery and potential for bio molecule sensor,"The possibility of functionality by side groups of the organic linkers (Scheme 1) of MIL53(Fe) series will be tested.  This research will become the base of the systematic study of interactions between the structures of host frameworks, loading, and release of guest molecules, which is essential for developing function and selectivity for bio sensor.",4.9,,13100,99998,4,01-Dec-09,"$50,000","$100,000",,Pharmaceutical research and manufacturing,12,8
Post-Doctoral Fellowship,PD09-04-00 20B,The bilayer mechanics of voltage-gated channel dysfunction,Dr An Ngo's mandate is to explore the impact of a bilayer-thinning and fluidizing agent (butanol) on restructuring of cholesterol-rich domains and on the lateral distribution of channels and amphiphilic drugs.,7.4.2,,40900,99998,4,01-Dec-09,"$50,000","$100,000",,Pharmaceutical research and manufacturing,13,8
Post-Doctoral Fellowship,PD09-04-00 20A,Enabling new routes to important motifs in medicinal chemistry,"Research aims at expanding the use of metal-free aminations and other novel strategies to address current limitations in this research area through two projects: aminocarbonylation reactions of alkenes/alkynes, and arene amination via catalytic transformation at C-H bonds.",7.4.2,,13100,99998,4,01-Dec-09,"$50,000","$100,000",,Pharmaceutical research and manufacturing,14,8
Post-Doctoral Fellowship,PD11-05-00 12D,,This research will explore how and why animate motion is prioitized in vision.,7.14,4.9,20600,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,15,3
Post-Doctoral Fellowship,PD11-05-00 3B,Studies on synthesis and applications of some pharmaceutically important organic compounds pertaining to lung diseases,The aim of the research is to synthesize novel phospholipids based surfactants and potential inhibitors of Pseudomonas lung infections in cystic fibrosis patients in order to understand their biolgocial and medicinal role in a hope to eventually find a cure for important lung diseases.,4.1,,41300,42700,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,16,2
Post-Doctoral Fellowship,PD09-04-00 20C,,"The research plan is expected to help develop an effective and compact distributed sensor system for completely discriminate strain and temperature with high spatial resolution, besdies a comprehensive physical description and the thorough understanding of the BDG property.",7.14,,12300,99998,4,01-Dec-09,"$50,000","$100,000",,Digital media and information and communications technologies,17,8
Post-Doctoral Fellowship,PD11-05-00 18A,,"Proposed outcomes of this research include design patterns for non-functional requirements in service-oriented and cloud-based systems, privacy-preserving algorithms for cloud computing, and performance modeling and autonomic monitoring of distributed, composed systems.",7.6,7.6.3,11600,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,18,6
Post-Doctoral Fellowship,PD11-05-00 12N,Regenerative medicine for nerve injury,The research will involve constructing novel biodegradable drug delivery systems and testing in animals to determine their clinical feasibility.,4.1,,40900,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,19,3
Post-Doctoral Fellowship,PD11-05-00 13,,The proposed proejct will link research on mercury isotope fractionation with the area of polar research.  Dr. Strok will investigate environmental samples to differentiate mercury pollution sources from the global mercury background.,3.4,3.2,13800,13900,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,20,9
Post-Doctoral Fellowship,PD11-05-00 14A,,The objective of this research is to develop assistance systems that can guide a cognitively disabled person through a number of simultaneously occurring tasks.,7.9.1,4.1,40800,99998,5,14-Jan-11,"$50,000","$110,000",,Advanced health technologies,21,10
Post-Doctoral Fellowship,PD11-05-00 14B,Advanced cardiovascular modeling to quantify changes in brain blood flow in older adults,The research will collect data on cardiovascular and cerebrovascular function with a goal to identify specific variables and analysis models that indicate increased risk of progressing to vascular cognitive imparment.,7.9.1,4.1,11000,41200,5,14-Jan-11,"$50,000","$138,000",,Advanced health technologies,22,10
Post-Doctoral Fellowship,PD11-05-00 14C,The nature of molecular hydrogen under nano-confinement: insight from theory and simulations,The research project will study the properties of confined hydrogen and test key scientific hypotheses regarding the percent weight loading of hydrogen in clathrates.,5.5,,13000,99998,5,14-Jan-11,"$50,000","$129,600",,Bio-economy and clean technologies,23,10
Post-Doctoral Fellowship,PD11-05-00 15A,,"This research will continue Dr. Barnett-Cowan's work in identifying and understanding which areas in normal, ageing and diseased brains analyze multisensory information about orientation, generate perceptions of the external world, make decisions, and execute movements.",4.9,,15100,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,24,11
Post-Doctoral Fellowship,PD11-05-00 15B,,"The objective of the research is to synthesize nitrogen dobped and boron doped diamond nanostructures as catalyst supports, and study the catalyst-support interaction using synchrotron techniques to further optimize the design of diamond nanostructure supports.",5.5,,11200,99998,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,25,11
Post-Doctoral Fellowship,PD11-05-00 15C,"Representation of sounds in the brain during listening, memory and imagery","This research will use neuroimaging to investigate the representation of sounds in auditory cortex during perception, attention, memory and imagery.",4.3,,15100,15200,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,26,11
Post-Doctoral Fellowship,PD11-05-00 15D,,This research will conduct an economic evalutaion of recently development genetic tests in order to see whether they are cost effective.,4.8,,10700,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,27,11
Post-Doctoral Fellowship,PD11-05-00 12B,New strategies to antimicrobial drug development: targeting bacterial pathogenesis,"This research takes a relatively unexplored approach to drug discovery, targeting pathogenicity, the bacteria's ability to cause an infection in a host organism.",7.4.2,,40900,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,28,3
Post-Doctoral Fellowship,PD11-05-00 17,coupled municipal waste water treatment and production of bio-fuel,,3.5,5.1,10600,11400,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,29,12
Post-Doctoral Fellowship,PD11-05-00 12L,,This research aims to uncover the population and community-level consequences of novel secies intereactions on an important mutualistic relationship.,3.7,,14100,14300,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,30,3
Post-Doctoral Fellowship,PD11-05-00 18B,,"With particular attention to refugee claimants and other temporary visa holders, the research will examine mixed flows of migrants and the forms of and transitions in status experience by migrants as they travel from their countries of origin; the barriers that Canada has developed to the acceptance and successful settlement of refugee claimants and other temporary migrants; and the responsiveness of Canada to receiving these migrant populations, specifically by supporting transitions to permanent resident status.",8.7,8.8,22600,99998,5,14-Jan-11,"$50,000","$100,000",,Not Applicable,31,6
Post-Doctoral Fellowship,PD11-05-00 18C,"Diagnostics, prognostics and therapeutics based on blood-borne peptide biomarkers presented by human leucocyte antigens","The HLA-based immunopeptide biomarker approach will permit extension of this biomarker program to blood, which is the preferred medium for disease diagnosis, prognosis, and monitoring of progression.",4.1,,15200,14700,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,32,6
Post-Doctoral Fellowship,PD11-05-00 19,,The research will focus on quantum gravity as well as the infrared sector of QCD.,5.7,,12300,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,33,13
Post-Doctoral Fellowship,PD11-05-00 20,Developing tools for assisting in the capture of user intentionality in information visualization systems,"The goal of the research is not only to better understand the relationship between visualization and users of visualization tools, but to develop best practices for the development of information visualization systems.",7.6,,10800,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,34,5
Post-Doctoral Fellowship,PD11-05-00 21,Spatiotemporal analysis of diabetes prevalence among the First Nation Communities of Northern Ontario,"The study employs geospatial techniques to examine high risk areas; evaluate the local specific environmental and socio-economic risk factors and pinpoint existing health care disparities; to assist a promotion of the First Nations' optimal health care, access to resources and managment.",4.9,8.8,42400,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,35,14
Post-Doctoral Fellowship,PD11-05-00 9A,Colalgen-coated silver nanoparticles as new antimicrobial agents,"In this study, photochemiccally prepared AgNPs coated with collagen type I (The most abundant protein found in the human body) will be prepared and their antimicrobial properties will be investigated.",7.4,,13000,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,36,8
Post-Doctoral Fellowship,PD11-05-00 9B,Tuning Fiber Birefringence by femtosecond pulses,The study will reveal generation and modification mechanisms of femtosecond laser pulse induced fiber birefringence and evaluate the fiber birefringence induced polarization-dependent spectral properties of optical fibers.,4.9,,12300,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,37,8
Post-Doctoral Fellowship,PD11-05-00 9C,Diversity competent primary and hospital maternal health care in Ottawa,"The research objective is to examine the current state of available diversity responsive policies, practices, and attitudes enacted in the institutions of primary and hospital maternal care in Ottawa and users' satisfaction with the offered care.",4.8,,42500,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,38,8
Post-Doctoral Fellowship,PD11-05-00 9D,,"The research will elucidate the detailed mechanisms by which XIAP, cIAP1 and cIAP2 control apoptosis and regulate the associated signal transduction pathways.  The research will investigate how these cellular effects are modulated by small molecule IAP antagonists.",4.1,,14700,14400,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,39,8
Post-Doctoral Fellowship,PD11-05-00 16,Quantum theory: Foundations and Applications,This project is interested in the properties of quantum systems that serve as a resource and therefore need to be harnessed for building future technology and engineering applications based upon quantum theory.,7.14,,12300,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,40,15
Post-Doctoral Fellowship,PD11-05-00 12C,,The aim of this research is to examine if network reorganization altered by the rate of neurogenesis in the hippocampus.,4.1,,41000,42700,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,41,3
Post-Doctoral Fellowship,PD11-05-00 5,polymer functionalized gold nanorod for cancer diagnosis,polymer functionalized gold nanorod for cancer diagnosis,4.3,,40001,15200,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,42,16
Post-Doctoral Fellowship,PD11-05-00 6A,,Depression is common in patients with IBD and is linked to relapses of the disease.  This work examines the role of resident gut bacteria in this depression-induced vulnerability to inflammation.  This study provides a basis for identifying bacterial profiles associated with this vulnerability as well as bacteria that may play a protective role.,4.9,,41400,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,43,17
Post-Doctoral Fellowship,PD11-05-00 6B,Adaptive radiation and community assembly on islands: implications for evolution and conservation biology,The primary research goal is to test whether species diversity in local communities is correleated with niche breadth (the variation in habitats occupied) of the individual species contained within the community.,3.7,,14100,99998,5,14-Jan-11,"$50,000","$100,000",,Not Applicable,44,17
Post-Doctoral Fellowship,PD11-05-00 6C,Improved EVPSC model for predicting large strain behavior of magnesium (Mg) alloys,The research objectives are to (1) develop a model for describing large strain behaviour of Mg alloys; (2) apply the new model to gain insight into Mg alloys; and (3) implement the new model into the finite element program to study torsion and reverse torsion.,7.5.2,,11200,99998,5,14-Jan-11,"$50,000","$100,000",,Not Applicable,45,17
Post-Doctoral Fellowship,PD11-05-00 6D,Modular drug delievery capsules,"The research aims to fabricate polymeric capsules that contain different drug-loaded ""smart"" nanogels which allows for drug release which is remotely controlled, repeatable and, most importantly, tunable for the release of multiple drugs at different rates according to the patient's needs.",7.4.2,,40900,99998,5,14-Jan-11,"$50,000","$100,000",,Pharmaceutical research and manufacturing,46,17
Post-Doctoral Fellowship,PD11-05-00 7,,The research aims to discover and disseminate which innovation practices and innovation routines improve the probability of business success for specific situations.,8.3,,22300,99998,5,14-Jan-11,"$50,000","$100,000",,Not Applicable,47,18
Post-Doctoral Fellowship,PD11-05-00 8,,"The research will investigate the implementatino of low cost, high radiation efficiency, high gain, and low profile phased antenna array based on planar waveguide technology.",7.14,,11600,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,48,19
Post-Doctoral Fellowship,PD11-05-00 10A,"Development of novel biomonitoring tools using crustacean zooplankton to assess the impact of rapid mining developmenti n the ""Ring of Fire"" region of Ontario's Far North","This research program will examine the remains of crustacean zooplankton communities preserved in the sediments of lakes located across Northern Ontario with a focus upon the Ring of Fire, and in the process develop a new biomonitoring tool for this and other similar regions.",3.4,,14900,99998,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,49,7
Post-Doctoral Fellowship,PD11-05-00 10B,Decoding sensorimotor predictions and action intentions from human brain activity,The aim of the research project is to better understand the cortical mechanisms that guide ecologically relevant manual action.,4.1,7.9.1,15200,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,50,7
Post-Doctoral Fellowship,PD11-05-00 12A,Bioinformatics for the design of synthetic antibodies,"This research will implement a flexible bioinformatics work-flow to a) optimize phage-display library design for antibody generation, and b) perform selection of antibody targets for clinical and research applications.",7.4.2,,40900,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,51,3
Post-Doctoral Fellowship,PD11-05-00 12M,,"The research will seek to understand the way in which a class of molecular machines, called proteases, target proteins inside the cell for degradation.",4.9,,14500,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,52,3
Post-Doctoral Fellowship,PD11-05-00 12E,Improved tumor penetration using rational 3D biomimetic tissue design and nanodelivery methods,"The goal of this research project is the synthesis, characterization, and demonstration of polymeric immuntargeted nanoparticles (NPs) for selective delivery of chemotherapy drugs.",4.1,4.3,40900,11000,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,53,3
Post-Doctoral Fellowship,PD11-05-00 12F,Fundamental studies of gas-liquid reactions involving frustrated Lewis pairs,This research will study reactions between FLPs and carbon dioxide and determine the paraments of those reactions.,5.5,,13100,99998,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,54,3
Post-Doctoral Fellowship,PD11-05-00 12G,Characterizing a novel function for Caspase-1 as a regulator of Immunoglobulin class switching IgA,The research will investigate mechanism for the Caspase-1-mediated regulation of CSR to IgA in the CH12F3-2 cell line.,4.1,,14500,99998,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,55,3
Post-Doctoral Fellowship,PD11-05-00 12H,,This project will examine cultural influences on sacrifice in romantic relationships.,8.2,8.8,22100,99998,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,56,3
Post-Doctoral Fellowship,PD11-05-00 12I,,The primary research goal is to prepare a book manuscript on racial disparities in jobs and health.,8.2,8.7,22600,21700,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,57,3
Post-Doctoral Fellowship,PD11-05-00 12J,,The research plan is to invert the reactivity such that electron-rich alkenes react with nucleophilic reagents and in the process generate stereocenters in an enantioselective fashion.,7.4.2,,40900,99998,5,14-Jan-11,"$50,000","$100,000",,Pharmaceutical research and manufacturing,58,3
Post-Doctoral Fellowship,PD11-05-00 12K,,This project will seek to improve understanding of the evolution of World Bank policies and practices and their impact on eductaion in developing countries.,8.1,8.3,22300,21000,5,14-Jan-11,"$50,000","$100,000",,Digital media and information and communications technologies,59,3
Post-Doctoral Fellowship,PD11-05-00 4,,The overall objective of this research is the development of a novel green technology for the catalytic conversion of lignin derived biomass to value-added chemicals.,5.5,,11400,99998,5,14-Jan-11,"$50,000","$100,000",,Bio-economy and clean technologies,60,20
Post-Doctoral Fellowship,PD11-05-00 10C,Long-latency muscle responses: neural mechanisms involved in learning novel mechanical loads for rapid limb control,The objective of the research is to investigate changes in long-latency motor responses and neural mechanisms that support learning novel mechanical loads.,4.1,,15200,41800,5,14-Jan-11,"$50,000","$100,000",,Advanced health technologies,61,7
Post-Doctoral Fellowship,PD06-01-00 12H,Understanding responses of adult stem cells for regenerative medicine,"Adult stem cells Â– which like embryonic stem cells can differentiate into specialized cell types Â– are poised to revolutionize tissue engineering, and scientists at the University of Toronto are at the forefront of this exciting research. Dr. Nic Leipzig is developing new strategies for exploring how adult neural stem cells differentiate. ItÂ’s work that could give new hope to people suffering from neurodegenerative diseases, stroke, traumatic brain injury and spinal cord injury.",4.1,,41000,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,62,3
Post-Doctoral Fellowship,PD06-01-00 8,Reproductive effects of pulp and paper mill effluent discharges in fish,"Studies conducted in North America and New Zealand over the past 20 years have demonstrated that pulp and paper mill effluents affect fish reproduction in a different way than recently reported in countries like Chile. This assessment of the causative agents of these observed differences will investigate the relationship with factors such as wood sources, geographical location (differences in weather), pulping and bleaching processes, and effluent treatment effectiveness.",,,,,,,,,,,,
University of Ontario Institute of Technology researcher Dr. Rodrigo Orrego hopes to come closer to an answer by comparing different pulp and paper mill procedures and effluent treatments with fish reproduction effects. Dr Orrego is establishing toxicity evaluation protocols with high sensitivity and utilizing precise molecular analyses to develop a complementary multi-disciplinary monitoring strategy to evaluate environmental problems in a local or global context. Forests activity play a critical role in the Province of OntarioÂ’s social development and economy; Dr OrregoÂ’s research will assist in the maintenance and improvement of the aquatic ecosystems associated with OntarioÂ’s forests and forest industry.,,,,,,,,,,,,,,,
,3.7,,42400,99999,1,01-Dec-06,$50,"000""","$100,000",rural,Advanced health technologies,63,19,,
Post-Doctoral Fellowship,PD06-01-00 9A,Creating methods to map the risk of malaria,"Malaria is a life-threatening illness caused by a parasite transmitted via mosquito, affecting hundreds of millions of people. In the last decade itÂ’s been on the rise, including in areas where it was once controlled. Why is this? And what can be done to decrease the incidence? Those are questions University of Ottawa researcher Dr. Manisha Kulkarni aims to answer by using geographic information systems, remote sensing and spatial statistics to better understand how global change is impacting the transmission of the disease.",4.1,,40100,99999,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,64,8
Post-Doctoral Fellowship,PD06-01-00 9B,Developing support strategies to prevent postpartum depression,,,,,,,,,,,,,
Up to 20% of new mothers in Canada experience postpartum depression,  a deep and ongoing debilitating condition that can have long-term ramifications for both mother and child. The cause of postpartum depression is not known and many new mothers donÂ’t recognize the symptoms, so they fail to get the treatment they need. At the University of Ottawa Dr. Ri-hua Xie is working to develop social support strategies to help prevent the illness.,,,,,,,,,,,,,
,4.1,,40800,99999,1,01-Dec-06,$50,"000""","$100,000",,Advanced health technologies,65,8,,
Post-Doctoral Fellowship,PD06-01-00 9C,Developing high-efficiency solar cells,"Solar power systems, while clean and renewable, produce electricity at a higher cost than conventional power sources. University of Ottawa researcher Dr. Christopher Valdivia hopes to change that. HeÂ’s focused on developing high-efficiency solar cells and sunlight-concentrating systems for use in non-polluting electrical power generation. Not only would this reduce the cost of solar energy, it would give Ontario-based solar companies a leg-up in the multi-billion dollar per year global industry.",5.5,,10600,99999,1,01-Dec-06,"$50,000","$100,000",,Bio-economy and clean technologies,66,8
Post-Doctoral Fellowship,PD06-01-00 9D,Developing new therapies for neurodegenerative diseases,"Neurodegenerative diseases such as ParkinsonÂ’s, AlzheimerÂ’s, dementia and Amyotrohpic Lateral Sclerosis (ALS) are devastating for patients and their families Â– and there are no effective treatments for them. At the University of Ottawa Dr. Leigh Anne Swayne is working hard to change that. SheÂ’s investigating the role of toxic lipid metabolites in neural degeneration and cell-cell communication in neural regeneration, something that could lead to new therapies.",4.1,,41000,99999,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,67,8
Post-Doctoral Fellowship,PD06-01-00 10A,Information-Theoretic Approaches to Wireless Sensor Communication Networks,"Improving wireless sensor networks Wireless sensor networks are networks of wireless, battery-powered sensor nodes capable of monitoring just about everything including traffic, weather, seismic activity, the movements of troops on battlefields, and the stresses on buildings and bridges. TheyÂ’re one of the 10 emerging technologies that will change the world in the 21century, according to the Technology Review, MITÂ’s Magazine of Innovation. But before their potential can be fully realized, a number of technical challenges must be overcome, including maximizing the lifetime of the sensor nodes. ThatÂ’s the focus of research being conducted by Dr. Hamid Behroozi at QueenÂ’s University.",7.6.2,,11600,99999,1,01-Dec-06,"$50,000","$100,000",,Digital media and information and communications technologies,68,7
Post-Doctoral Fellowship,PD06-01-00 10C,Developing a hydrogen storage system to improve fuel cell efficiency,,,,,,,,,,,,,
Hydrogen fuel cells generate electrical power quietly and efficiently, without pollution. They hold the promise of eventually replacing gasoline. But before they can do that, scientists must sort out some major issues, including storage. QueenÂ’s University researcher Dr. Dominik Wechsler is focused on developing a hybrid hydrogen storage system that would be dramatically more efficient than current storage systems. If successful, he could give Ontario fuel cell companies a leg-up in an industry where revenues will be close to $3 billion by 2009.  ,,,,,,,,,,,
,5.5,,11400,99999,1,01-Dec-06,$50,"000""","$100,000",climate change,Bio-economy and clean technologies,69,7,,
Post-Doctoral Fellowship,PD06-01-00 10B,Developing new treatments for breast cancer,"Herceptin is a drug thatÂ’s widely used to treat certain types of breast cancer, including ones that produce the ErbB2 protein. It works by seeking out and killing the specific types of cancer cells that carry this protein. But in approximately half of all ErbB2 cases Herceptin doesnÂ’t work Â– which means there are other mechanisms that play a role in making the cancer grow. Dr. Mulu Geletu thinks it could be a protein called Stat 3 and thatÂ’s the focus of the QueenÂ’s University scientistÂ’s research. What Dr. Geletu discovers may lead to new treatments for ErbB2-positive breast cancer.",4.1,,14500,99999,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,70,7
Post-Doctoral Fellowship,PD06-01-00 12D,Understanding how cancer spreads,"Metastatic cancer occurs when cancer cells spread from the place where the cancer started to other parts of the body and while treatments are available, metastatic cancer is rarely curable. But there is hope on the horizon. At the University of Toronto, Dr. Caterina Di Ciano-Oliveira is studying the role of septins, a group of proteins that have been identified as possible culprits in metastasis. Her work could lead to the development of more effective diagnoses and treatments for people with metastatic cancers.",4.1,,14400,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,71,3
Post-Doctoral Fellowship,PD06-01-00 12G,Assessment of bacterial species in lungs of CF patients,"Two million Canadians either have kidney disease or are at risk of getting it.  Of those, more than 32,000 are on renal replacement therapy Â– a number thatÂ’s expected to double over the next 10 years.  University of Toronto researcher Dr. Andras Masszi is investigating the cause of kidney fibrosis, the unstoppable end-stage of chronic kidney disease. By learning more about the cellular/molecular mechanisms underlying kidney fibrosis, he believes his work could lead to better treatments and ultimately reduce the burden on our healthcare system.",4.1,,41300,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,72,3
Post-Doctoral Fellowship,PD06-01-00 12F,mapping the human cell,"Scientists know that how each of us is built from scratch depends on a sequence of gene expression events. Understanding the complex network of these processes, involving over two million proteins, could lead to new methods for early disease diagnosis.  But itÂ’s a formidable challenge and one that wasnÂ’t possible before recent technological advances developed at the University of Toronto. Now, U of T researcher Dr. Javier Groshaus and co-workers made further advances that will allow the team use new laser based methods to peer inside cells to learn how cells work.  Dr. Groshaus is also developing a new kind of microscope that promises to unveil the 3-D structure of proteins, a tool essential to new drug development.",4.1,,14500,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,73,3
Post-Doctoral Fellowship,PD06-01-00 12E,Accelerating drug discovery,"How do genes influence a cellÂ’s response to its environment? ItÂ’s a simple question but answering it is a formidable challenge, given that the human body contains 20,000 to 25,000 genes. University of Toronto researcher Dr.  Elke Ericson is focused on developing the first-ever comprehensive human chemical genomics assay. Her work will lead to new insights into cell physiology Â– and accelerate drug discovery.",4.1,,14400,99998,1,01-Dec-06,"$50,000","$100,000",,Advanced health technologies,74,3
Post-Doctoral Fellowship,PD06-01-00 11,Developing an environmentally friendly form of concrete,"Concrete is used to construct buildings, bridges and dams all over the world. But concrete has a finite lifespan and producing its main ingredient, cement, poses serious environmental problems. Ryerson University researcher Dr. Mustafa Sahmaran is investigating the possibility of replacing cement with fly ash, which, if successful, could reduce the negative environmental impact of making concrete, increase its longevity Â– and change the construction industry world-wide.",2.8,,10200,99999,1,01-Dec-06,"$50,000","$100,000",,Not Applicable,75,21
